Timestamp,ins.pitch,Timestamp,LQRXObsBuf[0][4],Timestamp,LQRXObsBuf[0][5],Timestamp,LQRXObsBuf[1][4],Timestamp,LQRXObsBuf[1][5],
9032320,20.3028,9032320,0.354369,9032320,-3.91258e-05,9032320,0.354367,9032320,0.000146798,
9064277,20.301,9064277,0.354317,9064277,-0.000280827,9064277,0.35435,9064277,-0.00015068,
9096004,20.293,9096004,0.354195,9096004,-0.000373789,9096004,0.354235,9096004,-0.000132088,
9127371,20.2833,9127371,0.354035,9127371,-1.94109e-06,9127371,0.354057,9127371,-9.49029e-05,
9159160,20.283,9159160,0.354025,9159160,-0.000280827,9159160,0.354044,9159160,0.000183983,
9189414,20.2774,9189414,0.353922,9189414,-0.000299419,9189414,0.353958,9189414,0.000276945,
9221216,20.2766,9221216,0.353903,9221216,-3.91258e-05,9221216,0.353927,9221216,0.00016539,
9252456,20.2767,9252456,0.353903,9252456,9.10208e-05,9252456,0.353876,9252456,-0.000169272,
9282762,20.2806,9282762,0.353959,9282762,5.3836e-05,9282762,0.353928,9282762,-0.000169272,
9314959,20.2797,9314959,0.353957,9314959,-5.77182e-05,9314959,0.353946,9314959,0.000128206,
9346243,20.2764,9346243,0.353892,9346243,0.000146798,9346243,0.353892,9346243,-5.77182e-05,
9378261,20.2775,9378261,0.353923,9378261,-3.91258e-05,9378261,0.353953,9378261,0.000202575,
9406290,20.2748,9406290,0.353847,9406290,-9.49029e-05,9406290,0.35383,9406290,-0.000262234,
9438355,20.2736,9438355,0.353869,9438355,-1.94109e-06,9438355,0.353862,9438355,-3.91258e-05,
9470621,20.2726,9470621,0.353804,9470621,0.000128206,9470621,0.353804,9470621,-3.91258e-05,
9499063,20.2708,9499063,0.353792,9499063,-0.000448158,9499063,0.353809,9499063,0.000221167,
9531917,20.2677,9531917,0.353747,9531917,-9.49029e-05,9531917,0.353737,9531917,-0.000169272,
9560886,20.2638,9560886,0.353695,9560886,-3.91258e-05,9560886,0.353692,9560886,-0.000392381,
9593634,20.2674,9593634,0.353751,9593634,-0.00015068,9593634,0.353742,9593634,0.000109613,
9624542,20.2599,9624542,0.353664,9624542,-9.49029e-05,9624542,0.353668,9624542,0.000183983,
9655213,20.2577,9655213,0.353587,9655213,0.000183983,9655213,0.35358,9655213,-2.05335e-05,
9687476,20.2573,9687476,0.353548,9687476,3.52437e-05,9687476,0.353574,9687476,9.10208e-05,
9722336,20.2551,9722336,0.35354,9722336,-3.91258e-05,9722336,0.353547,9722336,1.66513e-05,
9736176,20.2529,9736176,0.353452,9736176,7.24284e-05,9736176,0.35351,9736176,-0.000243642,
9767316,20.2509,9767316,0.353431,9767316,0.00016539,9767316,0.353427,9767316,-2.05335e-05,
9797541,20.2568,9797541,0.353504,9797541,-9.49029e-05,9797541,0.35351,9797541,-0.000169272,
9830280,20.2532,9830280,0.353476,9830280,-0.00015068,9830280,0.353514,9830280,-0.000113495,
9860782,20.2497,9860782,0.353438,9860782,-0.000336604,9860782,0.353454,9860782,0.000128206,
9894638,20.2503,9894638,0.353415,9894638,0.000388499,9894638,0.353396,9894638,-0.000113495,
9923271,20.2482,9923271,0.353417,9923271,3.52437e-05,9923271,0.353396,9923271,-0.000169272,
9956620,20.2445,9956620,0.353353,9956620,-3.91258e-05,9956620,0.353359,9956620,0.000146798,
9986716,20.2482,9986716,0.353392,9986716,-0.000113495,9986716,0.353391,9986716,-5.77182e-05,
10015631,20.2466,10015631,0.353374,10015631,-0.000299419,10015631,0.353398,10015631,-9.49029e-05,
10046142,20.2451,10046142,0.353371,10046142,-0.00015068,10046142,0.353379,10046142,3.52437e-05,
10079418,20.2452,10079418,0.35336,10079418,-3.91258e-05,10079418,0.353347,10079418,-0.000169272,
